ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1,7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1,3
2,8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4,3
3,8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11,3
4,7.5,0.32,0.24,4.6,0.053,8,134,0.9958,3.14,0.5,9.1,3
5,6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4,3
6,7.1,0.49,0.22,2,0.047,146.5,307.5,0.9924,3.24,0.37,11,3
7,11.8,0.23,0.38,11.1,0.034,15,123,0.9997,2.93,0.55,9.7,3
8,7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,3
9,6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1,3
10,4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8,3
11,9.4,0.24,0.29,8.5,0.037,124,208,0.99395,2.9,0.38,11,3
12,6.2,0.23,0.35,0.7,0.051,24,111,0.9916,3.37,0.43,11,3
13,6.8,0.26,0.34,15.1,0.06,42,162,0.99705,3.24,0.52,10.5,3
14,6.1,0.26,0.25,2.9,0.047,289,440,0.99314,3.44,0.64,10.5,3
15,7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5,3
16,6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3
17,10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6,3
18,6.8,0.67,0.3,13,0.29,22,193,0.9984,3.08,0.67,9,4
19,6.9,0.2,0.34,1.9,0.043,25,136,0.9935,3.31,0.6,10.1,4
20,6.6,0.38,0.18,1.2,0.042,20,84,0.9927,3.22,0.45,10.1,4
21,6,0.395,0,1.4,0.042,7,55,0.99135,3.37,0.38,11.2,4
22,7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5,4
23,8.4,0.19,0.42,1.6,0.047,9,101,0.994,3.06,0.65,11.1,4
24,8.3,0.27,0.45,1.3,0.048,8,72,0.9944,3.08,0.61,10.3,4
25,8,0.23,0.37,9.6,0.054,23,159,0.99795,3.32,0.47,9.8,4
26,8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,4
27,6.8,0.705,0.25,3.2,0.048,10,57,0.996,3.36,0.52,9.5,4
28,8.2,0.26,0.44,1.3,0.046,7,69,0.9944,3.14,0.62,10.2,4
29,7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,4
30,8,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,4
31,6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3,4
32,8.2,0.68,0.3,2.1,0.047,17,138,0.995,3.22,0.71,10.8,4
33,7.3,0.49,0.32,5.2,0.043,18,104,0.9952,3.24,0.45,10.7,4
34,9.4,0.29,0.55,2.2,0.05,17,119,0.9962,3.12,0.69,10.3,4
35,5.3,0.3,0.2,1.1,0.077,48,166,0.9944,3.3,0.54,8.7,4
36,9.2,0.22,0.4,2.4,0.054,18,151,0.9952,3.04,0.46,9.3,4
37,6.5,0.52,0.17,1.4,0.047,5,26,0.9932,3.26,0.32,10,4
38,6.1,0.6,0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4,4
39,7.9,0.16,0.3,4.8,0.037,37,171,0.9967,3.47,0.44,9,4
40,7.6,0.33,0.36,2.1,0.034,26,172,0.9944,3.42,0.48,10.5,4
41,8,0.66,0.72,17.55,0.042,62,233,0.9999,2.92,0.68,9.4,4
42,6.9,0.39,0.22,4.3,0.03,10,102,0.993,3,0.87,11.6,4
43,6.9,0.41,0.22,4.2,0.031,10,102,0.993,3,0.86,11.6,4
44,9.2,0.35,0.39,0.9,0.042,15,61,0.9924,2.96,0.28,10.4,4
45,6.9,0.32,0.16,1.4,0.051,15,96,0.994,3.22,0.38,9.5,4
46,6.3,0.39,0.24,6.9,0.069,9,117,0.9942,3.15,0.35,10.2,4
47,9.2,0.28,0.49,11.8,0.042,29,137,0.998,3.1,0.34,10.1,4
48,9.8,0.25,0.74,10,0.056,36,225,0.9977,3.06,0.43,10,4
49,7,0.39,0.24,1,0.048,8,119,0.9923,3,0.31,10.1,4
50,6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,4
51,6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,4
52,7.1,0.53,0.24,0.8,0.029,29,86,0.993,3.16,0.32,9.1,4
53,6.2,0.43,0.49,6.4,0.045,12,115,0.9963,3.27,0.57,9,4
54,8.8,0.35,0.49,1,0.036,14,56,0.992,2.96,0.33,10.5,4
55,8.5,0.17,0.49,8.8,0.048,23,108,0.9947,2.88,0.34,10.5,4
56,7.1,0.64,0.49,1.8,0.05,17,128,0.9946,3.31,0.58,10.6,4
57,7.6,0.31,0.49,13.4,0.062,50,191,0.9989,3.22,0.53,9,4
58,6.9,0.26,0.49,1.6,0.058,39,166,0.9965,3.65,0.52,9.4,4
59,8.2,0.29,0.49,1,0.044,29,118,0.9928,3.24,0.36,10.9,4
60,8.1,0.28,0.46,15.4,0.059,32,177,1.0004,3.27,0.58,9,4
61,9,0.43,0.3,1.5,0.05,7,175,0.9951,3.11,0.45,9.7,4
62,6.5,0.27,0.19,4.2,0.046,6,114,0.9955,3.25,0.35,8.6,4
63,7,0.61,0.26,1.7,0.051,25,161,0.9946,3.36,0.6,10.6,4
64,9.3,0.2,0.33,1.7,0.05,28,178,0.9954,3.16,0.43,9,4
65,8.4,0.29,0.29,1.05,0.032,4,55,0.9908,2.91,0.32,11.4,4
66,6.1,0.32,0.37,1.8,0.051,13,200,0.9945,3.49,0.44,10.5,4
67,7.2,0.5,0,0.8,0.034,46,114,0.9932,3.19,0.34,9.2,4
68,10,0.91,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10,4
69,7.6,0.26,0.36,1.6,0.032,6,106,0.993,3.15,0.4,10.4,4
70,9.9,1.005,0.46,1.4,0.046,34,185,0.9966,3.02,0.49,10.2,4
71,6.4,0.43,0.27,1.1,0.054,5,110,0.9939,3.24,0.52,9.1,4
72,7.4,0.45,0.32,7.1,0.044,17,117,0.9962,3.32,0.41,10.4,4
73,6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7,4
74,8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,4
75,9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,4
76,7.9,0.28,0.32,3.6,0.038,9,76,0.992,3.05,0.31,11.7,4
77,6.3,0.24,0.37,1.8,0.031,6,61,0.9897,3.3,0.34,12.2,4
78,7.6,0.23,0.26,15.3,0.067,32,166,0.9986,3.03,0.44,9.2,4
79,6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,4
80,6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,4
81,7.5,0.29,0.26,14.95,0.067,47,178,0.99838,3.04,0.49,9.2,4
82,7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,4
83,6.5,0.28,0.35,9.8,0.067,61,180,0.9972,3.15,0.57,9,4
84,7.7,0.28,0.63,11.1,0.039,58,179,0.9979,3.08,0.44,8.8,4
85,6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5,4
86,6.4,0.27,0.19,2,0.084,21,191,0.99516,3.49,0.63,9.6,4
87,6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5,4
88,6.9,0.3,0.29,1.3,0.053,24,189,0.99362,3.29,0.54,9.9,4
89,6.9,0.3,0.3,1.3,0.053,24,186,0.99361,3.29,0.54,9.9,4
90,7.6,0.21,0.35,1.2,0.041,7,106,0.9914,3.06,0.45,11.3,4
91,9.2,0.19,0.42,2,0.047,16,104,0.99517,3.09,0.66,10,4
92,9.2,0.16,0.49,2,0.044,18,107,0.99514,3.1,0.53,10.2,4
93,7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4
94,6.3,0.38,0.17,8.8,0.08,50,212,0.99803,3.47,0.66,9.4,4
95,7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4
96,6.2,0.38,0.18,7.4,0.095,28,195,0.99773,3.53,0.71,9.2,4
97,6.4,0.35,0.35,5.6,0.034,9,148,0.99441,3.17,0.5,9.8,4
98,7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4
99,7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4
100,8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4
101,8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4
102,6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,4
103,6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,4
104,7.2,0.615,0.1,1.4,0.068,25,154,0.99499,3.2,0.48,9.7,4
105,7.1,0.23,0.24,5.4,0.039,60,196,0.9948,3.19,0.78,10,4
106,6,0.11,0.47,10.6,0.052,69,148,0.9958,2.91,0.34,9.3,4
107,8.5,0.22,0.34,0.7,0.04,5,25,0.9918,3.04,0.37,10.5,4
108,7.4,0.28,0.4,11.9,0.032,13,92,0.99629,3.01,0.46,10.8,4
109,7.1,0.27,0.28,1.25,0.023,3,89,0.98993,2.95,0.3,11.4,4
110,6.8,0.27,0.29,4.6,0.046,6,88,0.99458,3.34,0.48,10.6,4
111,6.2,0.255,0.24,1.7,0.039,138.5,272,0.99452,3.53,0.53,9.6,4
112,7.3,0.28,0.42,1.2,0.033,29,142,0.99205,3.17,0.43,10.7,4
113,6.9,0.3,0.36,4.5,0.054,31,203,0.99513,3.4,0.57,10.4,4
114,8.5,0.2,0.4,1.1,0.046,31,106,0.99194,3,0.35,10.5,4
115,8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8,4
116,6.5,0.29,0.25,2.5,0.142,8,111,0.9927,3,0.44,9.9,4
117,6.5,0.48,0.02,0.9,0.043,32,99,0.99226,3.14,0.47,9.8,4
118,6.7,0.64,0.3,1.2,0.03,18,76,0.9892,3.16,0.6,12.9,4
119,6.9,0.75,0.13,6.3,0.036,19,50,0.99312,3.09,0.25,11.1,4
120,7.5,0.34,0.24,3.85,0.031,5,34,0.99098,3.01,0.36,11.8,4
121,5.9,0.655,0,5.6,0.033,8,31,0.9936,3.32,0.51,10.5,4
122,6.7,0.22,0.22,1.2,0.038,5,124,0.99098,3.1,0.37,11.2,4
123,6.9,0.19,0.6,4,0.037,6,122,0.99255,2.92,0.59,10.4,4
124,6.1,0.6,0.12,1.8,0.05,11,76,0.99268,3.42,0.48,10.4,4
125,8.5,0.18,0.3,1.1,0.028,34,95,0.99272,2.83,0.36,10,4
126,6.5,0.32,0.48,8,0.026,18,88,0.99144,3.22,0.79,12.7,4
